28d3f81251d94b09735497477a5e4e02;3929762,503574,5819422,4238883,5788061,462949,635215,635216,4810441,3481823,4165233,3366480,5984302,4238942,5490453,4636156,5996865,4194836,5828780,4450195
d0c9aaa788153daeaf1f1538b3d46bbb;2080631,6343346,5184704,7756088,2653863,6607628,4236212,1277953,226864,3140015,8806369,311570,5687747,767516,4781370,2841637,2445106,1959511,2688186,2363430,6614346,853030,5336762,4226226,239571,4089758,4140337,913868,7562861,3190274,2782576,12571584,2049617,5761055,5441098,3466838,2080691,1805577,7570111,5760287,2855355,3281547,1012525,3512183,678653
f05bcffe7951de9e5a32fff4a42eb088;1158654,478707,12054725,6670515,781057,13329754,781055,2825,553840,988447,12938139,12037219,12788583,6595566,4027225,920055,3129258,2242776,3112352,144287,706033,525396,622633,9172127,7357993,230211,12790816,503161,12937120,942241,166220,8493138,2945819,227173,11191048,949352,227096,11597926,921623,833638,882809,12738996,99,7154210,11852474,72879,10723139,11923443,2862386,802634,1959297,4488840,12735311,5102465,5177766,129,1467354,9396734,494336,1218954,2783692,3733678,8423325,1160828,507529,7804574,5201306,407124,504896,3281478,13687046,6486855,13207613,11847579,556147,10362464,6531882,714977,9946377,742892,3044720,1119267,7538620,1426283,2705980,9001253,2121165,12901647,10462916,261290,921399,6196237,5664256,213068,1769635,1055600,876703,7623038,1405472,1320137,4492925,1825619,13408130,1320157,682116,405672,1814546,12732269,12394780,1835552,9445526,80543,5413529,1153421,12925513,1784935,10802130,6305290,3856997,2097471,3748163,12796779,878326,10098153,3459771,827938,4448813,239,9478785,579614,7355647,423698,556149,13329593,9081047,151946,1453872,671699,3578102,137486,703464,9069826,622635,6792520,247,12716731,10045309,255030,968854,3726797,8217163,2945839,11839662,10685085,2308256,9983047,10138849,11536389,945310,1036492,6982661,1649749,1325105,6475030,488726,100186,3317637,336911,1321106,3956160
ca4f1ba4094011d9a8757b1bfcadae5b;278019
d1d41a152019155035ceb2db7d331c44;6610569,6493797,6609079,7469737,7469738,6609102,6610585,6609240,7499869,7364976,7427963,7364991,7499833,7363519,7364990,6609245,7499801,7364971,7363487,7363498,7364986,7363513,7363526,6609222,7241881,6609169,7364933,6609099,1153734,7499794,3105791,6743243,6609238,7469728,7465494,7329626,1391614,1397150,7364987,7339380,7364973,7364823
f2f77383828ea6d39438e525e40d54ba;943458,238121,763429
9c883d02115400f7bab2c3f27d121d7c;3509971,3509965,2336685,2081051,3365220,1595391,4174633,1734381,3878624
b656009a6efdc8b1a43f5e25350392cf;771870,181369,1216141,695889,2686454,2862856,2811674,2620767,1349894,1550295,1779811,901222,333403,1670361,740681,1216168,1345170,500841,1247499,622844,1141826,2939259,2625223,1220110,1871533,1299464,1343286,12254734,965334,1645745,2752879,816066,2240718,2752937,919232,2200230,300569,1074519,664041,1227212,1286088,2686494,1264228,898387,2610707,972902,2915212,2156871,1356989,822253,2388549,658201,2365209,913645,1746151,2249820,384364,1624397,1290791,1890690,3407406,600598,1938132,221390,2761647,7018499,1870439,117727,1217723,688160,298775,2719627,1450033,2045589,3032525,80546,305755,2752921,1356997,539299,2200182,90413,1453145,883747,1129585,404679,2045619,1279898,608358,761569,4395159,1597404,2150799,699815,941108,2811677,484851,1326856,2752882,2188733,1130952,1326268,1511759,1815955
cf9c7f356092c34be14d1d35407b26f2;90558
0f5cbb39410a9278f535dd027a511fa3;9344598
